code,name,units,sort_nu,help_text
clearing,Clearing and Grubbing,AC,1,"The cost item 'Clearing and Grubbing' (clearing) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
excavation,Excavation,CY,2,"The cost item 'Excavation' (excavation) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
fill,Fill,CY,3,"The cost item 'Fill' (fill) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
storage_vessel,Storage Vessel,CF,4,"The cost item 'Storage Vessel' (storage_vessel) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
outlet_structure,Outlet Structure,Ea.,5,"The cost item 'Outlet Structure' (outlet_structure) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
pipe,Pipe,LF,6,"The cost item 'Pipe' (pipe) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
topsoil,Topsoil,CY,7,"The cost item 'Topsoil' (topsoil) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
engineered_media,Engineered Media,CY,8,"The cost item 'Engineered Media' (engineered_media) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
mulch,Mulch,CY,9,"The cost item 'Mulch' (mulch) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
underdrain,Underdrain,LF,10,"The cost item 'Underdrain' (underdrain) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
drainage_layer,Drainage Layer (#57),TN,11,"The cost item 'Drainage Layer (#57)' (drainage_layer) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
bedding_layer,Bedding Layer,TN,12,"The cost item 'Bedding Layer' (bedding_layer) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
permeable_surface,Permeable Surface,SF,15,"The cost item 'Permeable Surface' (permeable_surface) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
wetland_planting,Wetland Planting,SY,16,"The cost item 'Wetland Planting' (wetland_planting) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
landscaping_planting,Landscaping Planting,SY,17,"The cost item 'Landscaping Planting' (landscaping_planting) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
permanent_cover,Permanent Cover,AC,18,"The cost item 'Permanent Cover' (permanent_cover) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
sod,Sod,SY,19,"The cost item 'Sod' (sod) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
erosion_control,Erosion Control,SY,20,"The cost item 'Erosion Control' (erosion_control) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
roof_reinforcement,Roof Reinforcement,SF,21,"The cost item 'Roof Reinforcement' (roof_reinforcement) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
standard_curb_gutter,Standard Curb & Gutter,LF,22,"The cost item 'Standard Curb & Gutter' (standard_curb_gutter) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
vertical_curb_gutter,Vertical Curb & Gutter,LF,23,"The cost item 'Vertical Curb & Gutter' (vertical_curb_gutter) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
flush_curb,Flush Curb,LF,24,"The cost item 'Flush Curb' (flush_curb) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
abc_base_course,"ABC Base Course (8"")",SF,25,"The cost item 'ABC Base Course (8"")' (abc_base_course) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
asphalt_base_layer,Asphalt Base Layer,SF,26,"The cost item 'Asphalt Base Layer' (asphalt_base_layer) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
asphalt_surface_course,Asphalt Surface Course,SF,27,"The cost item 'Asphalt Surface Course' (asphalt_surface_course) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
concrete_sidewalk,Concrete,SF,28,"The cost item 'Concrete' (concrete_sidewalk) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
greenroof_profile,Greenroof Profile,SF,29,"The cost item 'Greenroof Profile' (greenroof_profile) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
roof_profile,Roof Ballast,SF,30,"The cost item 'Roof Ballast' (roof_profile) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
tree_specimen,Specimen Trees,Ea.,31,"The cost item 'Specimen Trees' (tree_specimen) includes all cost associated with preparation, mobilization, installation, and cleanup of structure the item."
